entity,name,subcategory,type,first build,second build
Module,:app,lifecycle,Duration,1,1
Module,:app,lifecycle,Counter,4,4
Module,:app,lifecycle,Fingerprinting,0,0
Module,:app,lifecycle,DurationMean,0,0
Module,:app,lifecycle,DurationMedian,0.0,0.0
Module,:app,lifecycle,DurationP90,1.0,1.0
Module,:app,lifecycle,FingerprintingMean,0,0
Module,:app,lifecycle,FingerprintingMedian,0.0,0.0
Module,:app,lifecycle,FingerprintingP90,0.0,0.0
Module,:app,skipped,Duration,1,0
Module,:app,skipped,Counter,2,2
Module,:app,skipped,Fingerprinting,0,0
Module,:app,skipped,DurationMean,0,0
Module,:app,skipped,DurationMedian,1.0,0.0
Module,:app,skipped,DurationP90,1.0,0.0
Module,:app,skipped,FingerprintingMean,0,0
Module,:app,skipped,FingerprintingMedian,0.0,0.0
Module,:app,skipped,FingerprintingP90,0.0,0.0
Module,:app,avoided_from_local_cache,Duration,6,14
Module,:app,avoided_from_local_cache,Counter,2,2
Module,:app,avoided_from_local_cache,Fingerprinting,1,2
Module,:app,avoided_from_local_cache,DurationMean,3,7
Module,:app,avoided_from_local_cache,DurationMedian,3.0,7.0
Module,:app,avoided_from_local_cache,DurationP90,3.0,9.0
Module,:app,avoided_from_local_cache,FingerprintingMean,0,1
Module,:app,avoided_from_local_cache,FingerprintingMedian,1.0,1.0
Module,:app,avoided_from_local_cache,FingerprintingP90,1.0,1.0
Module,:ui-test-hilt-manifest,executed_not_cacheable,Duration,258,520
Module,:ui-test-hilt-manifest,executed_not_cacheable,Counter,5,5
Module,:ui-test-hilt-manifest,executed_not_cacheable,Fingerprinting,14,5
Module,:ui-test-hilt-manifest,executed_not_cacheable,DurationMean,51,104
Module,:ui-test-hilt-manifest,executed_not_cacheable,DurationMedian,64.0,37.0
Module,:ui-test-hilt-manifest,executed_not_cacheable,DurationP90,107.0,417.0
Module,:ui-test-hilt-manifest,executed_not_cacheable,FingerprintingMean,2,1
Module,:ui-test-hilt-manifest,executed_not_cacheable,FingerprintingMedian,2.0,1.0
Module,:ui-test-hilt-manifest,executed_not_cacheable,FingerprintingP90,6.0,3.0
Module,:ui-test-hilt-manifest,executed_cacheable,Duration,29552,17130
Module,:ui-test-hilt-manifest,executed_cacheable,Counter,14,14
Module,:ui-test-hilt-manifest,executed_cacheable,Fingerprinting,4118,1734
Module,:ui-test-hilt-manifest,executed_cacheable,DurationMean,2110,1223
Module,:ui-test-hilt-manifest,executed_cacheable,DurationMedian,887.0,233.0
Module,:ui-test-hilt-manifest,executed_cacheable,DurationP90,9068.0,5683.0
Module,:ui-test-hilt-manifest,executed_cacheable,FingerprintingMean,294,123
Module,:ui-test-hilt-manifest,executed_cacheable,FingerprintingMedian,16.0,8.0
Module,:ui-test-hilt-manifest,executed_cacheable,FingerprintingP90,1184.0,800.0
Module,:ui-test-hilt-manifest,no-source,Duration,15,20
Module,:ui-test-hilt-manifest,no-source,Counter,6,6
Module,:ui-test-hilt-manifest,no-source,Fingerprinting,4,4
Module,:ui-test-hilt-manifest,no-source,DurationMean,2,3
Module,:ui-test-hilt-manifest,no-source,DurationMedian,1.0,2.0
Module,:ui-test-hilt-manifest,no-source,DurationP90,9.0,7.0
Module,:ui-test-hilt-manifest,no-source,FingerprintingMean,0,0
Module,:ui-test-hilt-manifest,no-source,FingerprintingMedian,1.0,1.0
Module,:ui-test-hilt-manifest,no-source,FingerprintingP90,1.0,1.0
Module,:ui-test-hilt-manifest,lifecycle,Duration,0,0
Module,:ui-test-hilt-manifest,lifecycle,Counter,4,4
Module,:ui-test-hilt-manifest,lifecycle,Fingerprinting,0,0
Module,:ui-test-hilt-manifest,lifecycle,DurationMean,0,0
Module,:ui-test-hilt-manifest,lifecycle,DurationMedian,0.0,0.0
Module,:ui-test-hilt-manifest,lifecycle,DurationP90,0.0,0.0
Module,:ui-test-hilt-manifest,lifecycle,FingerprintingMean,0,0
Module,:ui-test-hilt-manifest,lifecycle,FingerprintingMedian,0.0,0.0
Module,:ui-test-hilt-manifest,lifecycle,FingerprintingP90,0.0,0.0
Module,:ui-test-hilt-manifest,skipped,Duration,0,0
Module,:ui-test-hilt-manifest,skipped,Counter,1,1
Module,:ui-test-hilt-manifest,skipped,Fingerprinting,0,0
